FilePath	IFD0:ImageDescription	XMP-iptcExt:ArtworkContentDescription	XMP-iptcExt:PersonInImage	XMP-dc:Subject	XMP-dc:Description	XMP-dc:Creator	XMP-photoshop:CaptionWriter	XMP-photoshop:City	XMP-photoshop:State	XMP-photoshop:Country	XMP-iptcCore:Location	XMP-iptcCore:CountryCode	XMP-iptcCore:SubjectCode	XMP-iptcCore:ExtDescrAccessibility	XMP-lr:HierarchicalSubject	IPTC:CodedCharacterSet	IPTC:ApplicationRecordVersion	IPTC:Keywords	IPTC:City	IPTC:Sub-location	IPTC:Province-State	IPTC:Country-PrimaryLocationCode	IPTC:Country-PrimaryLocationName	IPTC:Caption-Abstract	IPTC:Writer-Editor
Photo Albums\China_1986_B02_Archive\China_1986_B02_P01_S01.tif	China (1986) - Book 02, Page 01 of 41, Scan S01 of 1 total				China (1986) - Book 02, Page 01, Scan S01 of 1 total	Audrey D. Cordell				China		CHN				UTF8	2	"[""China""]"				CHN	China	China (1986) - Book 02, Page 01 of 41, Scan S01 of 1 total	
Photo Albums\China_1986_B02_Archive\China_1986_B02_P02_S01.tif					China (1986) - Book 02, Page 02, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P02_S02.tif					China (1986) - Book 02, Page 02, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P03_S01.tif					China (1986) - Book 02, Page 03, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P03_S02.tif					China (1986) - Book 02, Page 03, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P04_S01.tif					China (1986) - Book 02, Page 04, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P04_S02.tif					China (1986) - Book 02, Page 04, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P05_S01.tif					China (1986) - Book 02, Page 05, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P05_S02.tif					China (1986) - Book 02, Page 05, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P06_S01.tif					China (1986) - Book 02, Page 06, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P06_S02.tif					China (1986) - Book 02, Page 06, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P07_S01.tif					China (1986) - Book 02, Page 07, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P07_S02.tif					China (1986) - Book 02, Page 07, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P08_S01.tif					China (1986) - Book 02, Page 08, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P08_S02.tif					China (1986) - Book 02, Page 08, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P09_S01.tif					China (1986) - Book 02, Page 09, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P09_S02.tif					China (1986) - Book 02, Page 09, Scan S02 of 2 total	Audrey D. Cordell												"[""China""]"							
Photo Albums\China_1986_B02_Archive\China_1986_B02_P10_S01.tif					China (1986) - Book 02, Page 10, Scan S01 of 2 total	Audrey D. Cordell												"[""China""]"							
