__ffmeta_header	__ffmeta_order	__chapter_order	__chapter_index	ffmeta_title	TIMEBASE	START	END	title	DATE_RECORDED	DATE_DIGITIZED	creation_time	comment	transcript
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	1	Callahan 05 Archive (VHS Tape)	1001/30000	461	59570	2001 - Dilbeck's Movie - 01 Full Movie	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	2	Callahan 05 Archive (VHS Tape)	1001/30000	813	5957	2001 - Intro & Coyote Crossing At Agua Caliente	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	3	Callahan 05 Archive (VHS Tape)	1001/30000	5957	6488	2001 - Eddi, Jack, Walt & Darleen	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	4	Callahan 05 Archive (VHS Tape)	1001/30000	6488	8928	2001 - Ryan, Lynda, Jim & Jennifer at Callahan Home in Altadena	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	5	Callahan 05 Archive (VHS Tape)	1001/30000	9965	15245	2001 - Bunny on Callahan's Neighbours Lawn & The Bunny Museum in Altadena	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	6	Callahan 05 Archive (VHS Tape)	1001/30000	15245	20025	2001 - Installing Bridge at Loyd Dilbeck's Farm, with Loyd, Darleen & Brian	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	7	Callahan 05 Archive (VHS Tape)	1001/30000	20025	28289	2001 - The Arabia Steamboat Museum in Kansas City, Missouri	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	8	Callahan 05 Archive (VHS Tape)	1001/30000	28289	31308	2001 - The Hemmings Great Race at Union Station Kansas City & Topeaka, Missouri (Atlanta, Georgia to Pasadena, California)	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	9	Callahan 05 Archive (VHS Tape)	1001/30000	31308	33499	2001 - Darleen Dilbeck, Linda Petrie with Babby Son	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	10	Callahan 05 Archive (VHS Tape)	1001/30000	33499	36724	2001 - Pig-N-Ford Model T Races, Tillamook County Fair, Tillamook, Oregon	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	11	Callahan 05 Archive (VHS Tape)	1001/30000	36724	38779	2001 - Vintage Car Pinewood Derby	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	12	Callahan 05 Archive (VHS Tape)	1001/30000	38861	43054	2001 - Demoltion Derby, Tillamook County Fair, Tillamook, Oregon	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	13	Callahan 05 Archive (VHS Tape)	1001/30000	43054	44937	2001 - Baja Bug and Model-T Restoration	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	14	Callahan 05 Archive (VHS Tape)	1001/30000	44937	45793	2001 - Darleen selecting tree to cut down at Beaver Acres	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	15	Callahan 05 Archive (VHS Tape)	1001/30000	45866	48647	2001 - Jim, Darleen, Lynda & Ryan decorating Christmas Tree	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	16	Callahan 05 Archive (VHS Tape)	1001/30000	48647	50048	2001 - Loyd filming Lynda, Darleen, Jim & Ryan in Kids Bedroom	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	17	Callahan 05 Archive (VHS Tape)	1001/30000	50048	52921	2001 - Ryan & Robbie playing in front of Callahan Home with Skate Board	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	18	Callahan 05 Archive (VHS Tape)	1001/30000	52921	54041	2001 - Robbie & Ryan open presets in front of Callahan Home	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	19	Callahan 05 Archive (VHS Tape)	1001/30000	54041	55420	2001 - Loyd, Dennis, Jennifer & Dilbeck with Ryan Callahan, Christmas at Callahan Home	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
;FFMETADATA1	title	TIMEBASE|START|END|title|DATE_RECORDED|DATE_DIGITIZED|creation_time|comment	20	Callahan 05 Archive (VHS Tape)	1001/30000	55422	56081	2001 - Lynda, Gloria, Jim & Ryan, Christmas at Callahan Home	1995; UTC	2026-02-13 06:47:44.756 ; UTC	2001		on
